"Country of origin","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",""
"Argentina","14.595359057188","21.530759140849","23.171488881111","20.924879968166","28.379647091031","30.490790128708","20.118808954954","55.3741889745","52.414780795574","61.069963991642","93.74335129559","93.481250405311","92.499739348888","113.33215731382",""
"Australia","436.89172698557","450.71364694647","477.73449805193","552.64810228534","578.84380928241","595.25224446878","583.71697445214","571.19079138338","624.27647895366","681.26642345637","596.93820117786","687.33224548399","614.87068712711","628.9603035599",""
"Austria","109.5132946223","128.98063498735","128.65854088962","122.25779314339","140.78641617298","163.69116187096","141.65906441212","168.77201080322","165.9255348742","164.87809062004","153.01341540366","142.83758166432","145.39774116874","152.6902987808",""
"Bahrain","","","","","","","","","","12.069186925888","21.520883023739","23.936109066009","19.202672243118","11.562628358603",""
"Belgium","288.61380128562","306.21036790311","359.22573456168","300.53348134458","342.79421468079","351.08822834492","307.73722201586","349.91662362218","488.81148054451","406.37337005138","470.31799221039","530.69309968501","490.20514965057","529.81118676066",""
"Brazil","64.70641233027","46.135519951582","58.593485638499","65.440758258104","91.486316919327","108.88517896831","150.89464419708","108.44268606603","149.18974625319","211.28278414905","215.20779752731","219.95547196269","255.99781510234","259.63874670863",""
"Bulgaria","","","","","","","44.32026425004","55.701392769813","49.265095859766","52.615440130234","53.871897101402","55.15990293026","71.739023283124","70.269849717617",""
"Canada","358.33433617093","317.24028409645","368.86533403024","399.20365340263","439.54114300013","478.14752566069","499.69143673405","371.21364983916","389.4524776265","428.770805493","402.85625922307","434.4792412594","359.18793272972","407.5320417285",""
"Chile","","","","","","","","","","18.697606742382","16.651711195707","28.98694190383","38.009156614542","31.626925319433",""
"China","39.520290702581","42.630867943168","61.006584912538","58.081053897738","64.7710698843","79.168682083487","60.107489675283","46.699951596558","55.352449081838","80.626072511077","104.12551701069","96.425143629312","98.879508137703","167.07382965088",""
"Czech Republic","63.630266070366","79.656266540289","126.10342004895","106.91572417319","112.03087833524","134.11838850379","169.69502595067","144.81295788288","109.73616491258","108.7495559454","144.62534683943","136.47425049543","134.69117081165","166.25591626763",""
"Denmark","191.42862081528","209.83347041905","238.12045699358","286.6856983155","291.33200356364","312.2990822792","298.39092804864","332.16113193333","273.76461432874","340.23790004849","325.72703216225","378.45346415043","339.44392231107","422.73341810703",""
"Egypt","19.676177784801","25.033167228103","21.556451097131","19.483566179872","33.632623031735","21.840031042695","31.642433166504","30.472555994987","31.046822860837","29.872413918376","35.044817820191","39.117075741291","39.884898692369","38.139182984829",""
"Finland","66.278738990426","59.292796865106","78.123355820775","97.466170191765","102.58414876461","99.402503624558","94.937135785818","94.386108718812","103.60001514852","124.47414685786","130.73427016288","134.20757371187","159.43935228884","160.69283738732",""
"France","1102.863310881","1190.8709195703","1258.1196182743","1367.347915858","1447.5498759747","1342.3534987271","1409.8554764315","1528.2479291931","1624.2530665845","1600.4690838158","1681.2708605528","1903.9821559265","2009.9768748879","2071.3970699161",""
"Germany","889.43464875221","891.72890750319","1172.9192244317","1280.9184800908","1274.7184991389","1196.5759770423","1052.3987692818","1068.9323414639","1257.3681874499","1214.4722536281","1199.0605367608","1295.2619027346","1341.0733945444","1401.2194024771",""
"Greece","97.846777886152","96.631150200963","109.76634034514","111.77623444796","102.48796759546","99.552077889442","124.44705915451","116.93206042051","104.54719407856","134.3772778511","92.300163656473","110.83236959577","155.35499173403","147.76058228314",""
"Hong Kong","96.09616112709","78.753786057234","82.865821704268","88.943741813302","96.550382941961","85.092973068356","84.474332898855","86.691656753421","84.37004224956","97.925671339035","92.73019874841","99.483665198088","107.48812660575","134.41488564014",""
"Hungary","43.683604776859","45.148987084627","83.478904783726","120.8983810693","119.51189377904","149.11481496692","108.24772897363","102.42210307717","75.622508227825","80.749654084444","104.92136956751","88.17987498641","115.56501291692","95.239152401686",""
"Iceland","20.138197988272","23.700039997697","49.795671463013","42.968266814947","46.665953189135","46.103127717972","32.32858389616","23.710144102573","19.937233924866","24.469113081694","25.399086512625","28.956171184778","28.497370123863","26.062992602587",""
"India","135.24556919932","130.36824330688","160.28338171542","166.02863210253","229.56392790377","219.69035086036","241.64290943742","177.91295188665","235.92660681903","235.27043844759","231.53000344336","243.57792019844","252.31917276978","275.74530479312",""
"Indonesia","","","","","","","","","","19.232790187001","18.511527150869","17.862094968557","22.100618511438","24.770477861166",""
"Irish Republic","628.87316279113","623.55194965005","682.79325291514","726.53611734509","718.41196909547","732.27340725064","736.14925867319","690.42043060064","656.63884260505","620.3188509047","595.94004751742","610.6245984137","620.29201838374","793.23045112193",""
"Israel","152.70756545663","122.67384915054","127.44526006281","106.94067709148","138.3987917006","102.6993483156","125.66391813755","124.9304766655","122.84391089529","120.50557012856","108.20603364706","140.96326714754","147.57870230079","164.65256871283",""
"Italy","541.59629663825","601.41440147161","765.36209408939","643.72642339766","851.17527839541","837.74345067143","981.044688344","747.63998690247","932.24294380844","1009.2902180105","962.80720508844","1072.1807178259","1185.7482357472","1165.0836310536",""
"Japan","294.47076964378","232.52912601829","264.99339335784","242.9283888042","245.20231033862","220.05665105581","167.83790707588","180.45148927718","168.20516650379","166.3564555645","177.85401314497","155.34927842021","157.47822698951","151.39913752675",""
"Kenya","31.58049698174","19.836604095995","22.092889159918","16.468625932932","15.947710201144","12.670248940587","24.644500955939","14.897177070379","18.549059942365","17.843812078238","20.771585136652","22.347663998604","12.465435057878","22.400750875473",""
"Kuwait","31.059023976326","36.172743827105","32.45261387527","33.815372250974","43.64871712029","46.689408019185","35.422521859407","48.981363490224","41.936100050807","52.781241208315","50.478253751993","105.6890579462","84.274896293878","83.36739936471",""
"Luxembourg","23.933049038053","16.853040888905","38.373454108834","25.894775986671","28.203738063574","31.68774586916","34.968839019537","27.883183553815","26.796334177256","39.955056101084","40.060612678528","51.212061613798","56.097075656056","78.103773057461",""
"Malaysia","60.489580407739","46.671644106507","65.029698133469","52.811654210091","52.731740161776","46.977626994252","45.606669157743","77.888682097196","89.840815901756","82.473542526364","72.020530425012","113.3698862344","109.53684821725","126.01923207939",""
