Year,Visitor Arrival(Total),Visitor Arrival(Domestic),Visitor Arrival(International),Average number of visitors per day(Total),Average number of visitors per day(Domestic),Average number of visitors per day(International)
1966,834732,629564,205168,20900,19271,1629
1967,1124012,828849,295163,27610,24898,2712
1968,1313706,952821,360885,32314,28784,3530
1969,1526074,1121714,404360,37175,33088,4087
1970,1745904,1273639,472265,36920,32028,4892
1971,1817941,1363081,454860,40866,36504,4362
1972,2233627,1682285,551342,49987,45098,4889
1973,2622376,1942714,679662,59450,53407,6043
1974,2804394,2036203,768191,63772,56939,6833
1975,2818082,2028068,790014,66146,59495,6651
1976,3213249,2327399,885850,75426,68225,7201
1977,3413095,2508472,904623,82737,75684,7053
1978,3676967,2766012,910955,92114,85028,7086
1979,3966192,2888521,1077671,98745,89678,9067
1980,3928789,2793101,1135688,96406,86788,9618
1981,3928906,2778566,1150340,95874,85449,10425
1982,4227733,3072543,1155189,105075,94740,10335
1983,4356317,3219219,1137098,107860,97390,10470
1984,4827884,3499419,1328466,118252,106260,11992
1985,4843414,3522126,1321288,116107,103820,12287
1986,5569067,4063928,1505138,132355,118110,14245
1987,5770585,4040204,1730381,133835,116780,17055
1988,6101483,4041878,2059605,140798,115760,25038
1989,6488422,4339507,2148915,165058,135480,29578
1990,6723531,4315161,2408370,154516,113066,41450
1991,6518460,4068508,2449952,147323,105686,41637
1992,6473669,3791945,2681724,152249,106589,45660
1993,6070995,3570059,2500936,147498,100430,47068
1994,6364674,3813279,2551395,156630,107904,48726
1995,6546759,3743474,2803285,157098,105649,51450
1996,6723141,3794113,2929028,158297,106404,51892
1997,6761135,3890798,2870337,157187,108019,49168
1998,6595790,4014140,2581650,157388,112068,45320
1999,6741037,4255621,2485416,164439,117998,46441
2000,6948595,4446936,2501659,168637,123441,45196
2001,6303791,4224321,2079470,158247,118106,40141
2002,6389058,4358850,2030208,160195,121030,39165
2003,6380439,4531289,1849150,161048,123389,37659
2004,6912094,4892960,2019134,171481,132355,39126
2005,7416574,5313281,2103293,185445,144396,41049
2006,7528106,5550125,1977981,189441,149545,39895
2007,7496820,5582530,1914290,189412,150960,38452
2008,6713436,4901893,1811543,172487,135239,37248
2009,6420448,4672001,1748447,165082,129100,35983
2010,6916894,4957352,1959542,177949,136407,41542
2011,7174397,5127291,2047106,185824,142027,43797
